Status	Index	Total	Path	Target	ScriptName	FailureKind	ErrorSummary	Line	Column	Message
Success	1	20	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\AdventureWorksBiStackVideo\Runs\agent-clean-tabular-20260614-091441\bdv\AdventureWorksBusinessVault\SalesTransforms\sql\001_load_BH_Customer.sql	dbo.BH_Customer	dbo.v_load_BH_Customer					
Success	2	20	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\AdventureWorksBiStackVideo\Runs\agent-clean-tabular-20260614-091441\bdv\AdventureWorksBusinessVault\SalesTransforms\sql\002_load_BHS_Customer_CustomerProfile.sql	dbo.BHS_Customer_CustomerProfile	dbo.v_load_BHS_Customer_CustomerProfile					
Success	3	20	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\AdventureWorksBiStackVideo\Runs\agent-clean-tabular-20260614-091441\bdv\AdventureWorksBusinessVault\SalesTransforms\sql\003_load_BH_Store.sql	dbo.BH_Store	dbo.v_load_BH_Store					
Success	4	20	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\AdventureWorksBiStackVideo\Runs\agent-clean-tabular-20260614-091441\bdv\AdventureWorksBusinessVault\SalesTransforms\sql\004_load_BHS_Store_StoreProfile.sql	dbo.BHS_Store_StoreProfile	dbo.v_load_BHS_Store_StoreProfile					
Success	5	20	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\AdventureWorksBiStackVideo\Runs\agent-clean-tabular-20260614-091441\bdv\AdventureWorksBusinessVault\SalesTransforms\sql\005_load_BH_SalesPerson.sql	dbo.BH_SalesPerson	dbo.v_load_BH_SalesPerson					
Success	6	20	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\AdventureWorksBiStackVideo\Runs\agent-clean-tabular-20260614-091441\bdv\AdventureWorksBusinessVault\SalesTransforms\sql\006_load_BHS_SalesPerson_SalesPersonProfile.sql	dbo.BHS_SalesPerson_SalesPersonProfile	dbo.v_load_BHS_SalesPerson_SalesPersonProfile					
Success	7	20	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\AdventureWorksBiStackVideo\Runs\agent-clean-tabular-20260614-091441\bdv\AdventureWorksBusinessVault\SalesTransforms\sql\007_load_BH_SalesTerritory.sql	dbo.BH_SalesTerritory	dbo.v_load_BH_SalesTerritory					
Success	8	20	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\AdventureWorksBiStackVideo\Runs\agent-clean-tabular-20260614-091441\bdv\AdventureWorksBusinessVault\SalesTransforms\sql\008_load_BHS_SalesTerritory_SalesTerritoryProfile.sql	dbo.BHS_SalesTerritory_SalesTerritoryProfile	dbo.v_load_BHS_SalesTerritory_SalesTerritoryProfile					
Success	9	20	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\AdventureWorksBiStackVideo\Runs\agent-clean-tabular-20260614-091441\bdv\AdventureWorksBusinessVault\SalesTransforms\sql\009_load_BH_SalesOrder.sql	dbo.BH_SalesOrder	dbo.v_load_BH_SalesOrder					
Success	10	20	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\AdventureWorksBiStackVideo\Runs\agent-clean-tabular-20260614-091441\bdv\AdventureWorksBusinessVault\SalesTransforms\sql\010_load_BHS_SalesOrder_SalesOrderProfile.sql	dbo.BHS_SalesOrder_SalesOrderProfile	dbo.v_load_BHS_SalesOrder_SalesOrderProfile					
