Status	Index	Total	Path	Target	ScriptName	FailureKind	ErrorSummary	Line	Column	Message
Success	1	21	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\AdventureWorksBiStackVideo\Runs\agent-clean-tabular-20260614-091441\rdv\AdventureWorksRawVault\SalesTransforms\sql\001_load_H_Customer.sql	dbo.H_Customer	dbo.v_load_H_Customer					
Success	2	21	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\AdventureWorksBiStackVideo\Runs\agent-clean-tabular-20260614-091441\rdv\AdventureWorksRawVault\SalesTransforms\sql\002_load_HS_Customer_Customer.sql	dbo.HS_Customer_Customer	dbo.v_load_HS_Customer_Customer					
Success	3	21	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\AdventureWorksBiStackVideo\Runs\agent-clean-tabular-20260614-091441\rdv\AdventureWorksRawVault\SalesTransforms\sql\003_load_H_Store.sql	dbo.H_Store	dbo.v_load_H_Store					
Success	4	21	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\AdventureWorksBiStackVideo\Runs\agent-clean-tabular-20260614-091441\rdv\AdventureWorksRawVault\SalesTransforms\sql\004_load_HS_Store_Store.sql	dbo.HS_Store_Store	dbo.v_load_HS_Store_Store					
Success	5	21	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\AdventureWorksBiStackVideo\Runs\agent-clean-tabular-20260614-091441\rdv\AdventureWorksRawVault\SalesTransforms\sql\005_load_H_SalesPerson.sql	dbo.H_SalesPerson	dbo.v_load_H_SalesPerson					
Success	6	21	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\AdventureWorksBiStackVideo\Runs\agent-clean-tabular-20260614-091441\rdv\AdventureWorksRawVault\SalesTransforms\sql\006_load_HS_SalesPerson_SalesPerson.sql	dbo.HS_SalesPerson_SalesPerson	dbo.v_load_HS_SalesPerson_SalesPerson					
Success	7	21	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\AdventureWorksBiStackVideo\Runs\agent-clean-tabular-20260614-091441\rdv\AdventureWorksRawVault\SalesTransforms\sql\007_load_H_SalesTerritory.sql	dbo.H_SalesTerritory	dbo.v_load_H_SalesTerritory					
Success	8	21	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\AdventureWorksBiStackVideo\Runs\agent-clean-tabular-20260614-091441\rdv\AdventureWorksRawVault\SalesTransforms\sql\008_load_HS_SalesTerritory_SalesTerritory.sql	dbo.HS_SalesTerritory_SalesTerritory	dbo.v_load_HS_SalesTerritory_SalesTerritory					
Success	9	21	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\AdventureWorksBiStackVideo\Runs\agent-clean-tabular-20260614-091441\rdv\AdventureWorksRawVault\SalesTransforms\sql\009_load_H_SalesOrderHeader.sql	dbo.H_SalesOrderHeader	dbo.v_load_H_SalesOrderHeader					
Success	10	21	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\AdventureWorksBiStackVideo\Runs\agent-clean-tabular-20260614-091441\rdv\AdventureWorksRawVault\SalesTransforms\sql\010_load_HS_SalesOrderHeader_SalesOrderHeader.sql	dbo.HS_SalesOrderHeader_SalesOrderHeader	dbo.v_load_HS_SalesOrderHeader_SalesOrderHeader					
Success	11	21	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\AdventureWorksBiStackVideo\Runs\agent-clean-tabular-20260614-091441\rdv\AdventureWorksRawVault\SalesTransforms\sql\011_load_H_SalesOrderDetail.sql	dbo.H_SalesOrderDetail	dbo.v_load_H_SalesOrderDetail					
Success	12	21	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\AdventureWorksBiStackVideo\Runs\agent-clean-tabular-20260614-091441\rdv\AdventureWorksRawVault\SalesTransforms\sql\012_load_HS_SalesOrderDetail_SalesOrderDetail.sql	dbo.HS_SalesOrderDetail_SalesOrderDetail	dbo.v_load_HS_SalesOrderDetail_SalesOrderDetail					
Success	13	21	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\AdventureWorksBiStackVideo\Runs\agent-clean-tabular-20260614-091441\rdv\AdventureWorksRawVault\SalesTransforms\sql\013_load_H_SpecialOfferProduct.sql	dbo.H_SpecialOfferProduct	dbo.v_load_H_SpecialOfferProduct					
Success	14	21	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\AdventureWorksBiStackVideo\Runs\agent-clean-tabular-20260614-091441\rdv\AdventureWorksRawVault\SalesTransforms\sql\014_load_L_CustomerStore.sql	dbo.L_CustomerStore	dbo.v_load_L_CustomerStore					
Success	15	21	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\AdventureWorksBiStackVideo\Runs\agent-clean-tabular-20260614-091441\rdv\AdventureWorksRawVault\SalesTransforms\sql\015_load_L_CustomerSalesTerritory.sql	dbo.L_CustomerSalesTerritory	dbo.v_load_L_CustomerSalesTerritory					
Success	16	21	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\AdventureWorksBiStackVideo\Runs\agent-clean-tabular-20260614-091441\rdv\AdventureWorksRawVault\SalesTransforms\sql\016_load_L_SalesOrderHeaderCustomer.sql	dbo.L_SalesOrderHeaderCustomer	dbo.v_load_L_SalesOrderHeaderCustomer					
Success	17	21	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\AdventureWorksBiStackVideo\Runs\agent-clean-tabular-20260614-091441\rdv\AdventureWorksRawVault\SalesTransforms\sql\017_load_L_SalesOrderHeaderSalesPerson.sql	dbo.L_SalesOrderHeaderSalesPerson	dbo.v_load_L_SalesOrderHeaderSalesPerson					
Success	18	21	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\AdventureWorksBiStackVideo\Runs\agent-clean-tabular-20260614-091441\rdv\AdventureWorksRawVault\SalesTransforms\sql\018_load_L_SalesOrderHeaderSalesTerritory.sql	dbo.L_SalesOrderHeaderSalesTerritory	dbo.v_load_L_SalesOrderHeaderSalesTerritory					
Success	19	21	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\AdventureWorksBiStackVideo\Runs\agent-clean-tabular-20260614-091441\rdv\AdventureWorksRawVault\SalesTransforms\sql\019_load_L_SalesOrderDetailSalesOrderHeader.sql	dbo.L_SalesOrderDetailSalesOrderHeader	dbo.v_load_L_SalesOrderDetailSalesOrderHeader					
Success	20	21	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\AdventureWorksBiStackVideo\Runs\agent-clean-tabular-20260614-091441\rdv\AdventureWorksRawVault\SalesTransforms\sql\020_load_L_SalesOrderDetailSpecialOfferProduct.sql	dbo.L_SalesOrderDetailSpecialOfferProduct	dbo.v_load_L_SalesOrderDetailSpecialOfferProduct					
