OccurredAtUtc	EventKind	Subject	Detail
2026-06-03T11:07:43.0186030+00:00	RunStarted	orchestration	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\OrchestrationWS
2026-06-03T11:07:43.0425007+00:00	Process	meta-orchestration	10280
2026-06-03T11:07:43.0432424+00:00	PipelineExecutable	meta-pipeline	
2026-06-03T11:07:43.0439548+00:00	PipelineWorkspace	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\PipelineWS	
2026-06-03T11:07:43.0446455+00:00	TransformWorkspace	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\TransformWS	
2026-06-03T11:07:43.0454556+00:00	BindingWorkspace	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\BindingWS	
2026-06-03T11:07:43.0757435+00:00	LeaseAcquired	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\OrchestrationWS	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\leases\b30631311a63a1938a1d960e11d1b12772a5b649874a11ab9e9983ed17563480.tsv
2026-06-03T11:07:43.0783471+00:00	Phase	Loading	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\OrchestrationWS
2026-06-03T11:07:43.3196425+00:00	Phase	Building	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\OrchestrationWS
2026-06-03T11:07:43.3530734+00:00	Phase	Saving	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\OrchestrationWS
2026-06-03T11:07:43.5992976+00:00	RetryPolicyResolved	DefaultRetryPolicy	MaxAttempts=3; RetryableFailureClasses=6
2026-06-03T11:07:43.6083735+00:00	RunPlanReady	DefaultRunPlan	137
2026-06-03T11:07:44.0062588+00:00	WorkerStarting	ExtractSeed01	meta-pipeline
2026-06-03T11:07:44.5109192+00:00	WorkerStarted	ExtractSeed01	18984
2026-06-03T11:07:44.5119124+00:00	WorkerControlPipe	ExtractSeed01	meta-orchestration-68dab1d28b694c138a823524ef076fa3
2026-06-03T11:07:44.5130081+00:00	WorkerLog	ExtractSeed01	stdout=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-110742_4844be1369c548d7bedbf8a4694ba772\logs\ExtractSeed01-18984.stdout.log; stderr=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-110742_4844be1369c548d7bedbf8a4694ba772\logs\ExtractSeed01-18984.stderr.log
2026-06-03T11:07:44.5246526+00:00	WorkerStarting	ExtractSeed02	meta-pipeline
2026-06-03T11:07:44.7430154+00:00	WorkerStarted	ExtractSeed02	25228
2026-06-03T11:07:44.7437617+00:00	WorkerControlPipe	ExtractSeed02	meta-orchestration-ec0697330cae4b04924251bb5734d77d
2026-06-03T11:07:44.7443648+00:00	WorkerLog	ExtractSeed02	stdout=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-110742_4844be1369c548d7bedbf8a4694ba772\logs\ExtractSeed02-25228.stdout.log; stderr=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-110742_4844be1369c548d7bedbf8a4694ba772\logs\ExtractSeed02-25228.stderr.log
2026-06-03T11:07:44.7550374+00:00	WorkerEvent	ExtractSeed01	WorkerOnline; ExitCode=0; online
2026-06-03T11:07:44.7719908+00:00	WorkerStarting	ExtractSeed03	meta-pipeline
2026-06-03T11:07:44.9562912+00:00	WorkerStarted	ExtractSeed03	26000
2026-06-03T11:07:44.9570976+00:00	WorkerControlPipe	ExtractSeed03	meta-orchestration-1d81af2784cc4f89a05840268b856a5a
2026-06-03T11:07:44.9577790+00:00	WorkerLog	ExtractSeed03	stdout=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-110742_4844be1369c548d7bedbf8a4694ba772\logs\ExtractSeed03-26000.stdout.log; stderr=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-110742_4844be1369c548d7bedbf8a4694ba772\logs\ExtractSeed03-26000.stderr.log
2026-06-03T11:07:44.9587915+00:00	WorkerEvent	ExtractSeed01	WorkerReady; ExitCode=0; ready
2026-06-03T11:07:44.9746080+00:00	StartPipeline	ExtractSeed01	ExtractSeed01
2026-06-03T11:07:44.9768597+00:00	WorkerEvent	ExtractSeed02	WorkerOnline; ExitCode=0; online
2026-06-03T11:07:44.9787960+00:00	WorkerStarting	ExtractSeed04	meta-pipeline
2026-06-03T11:07:45.1875184+00:00	WorkerStarted	ExtractSeed04	28352
2026-06-03T11:07:45.1883465+00:00	WorkerControlPipe	ExtractSeed04	meta-orchestration-005664cc66e64951bf50c65579765283
