OccurredAtUtc	EventKind	Subject	Detail
2026-06-03T16:35:37.6563899+00:00	RunStarted	orchestration	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\OrchestrationWS
2026-06-03T16:35:37.6681244+00:00	Process	meta-orchestration	23500
2026-06-03T16:35:37.6686804+00:00	PipelineExecutable	meta-pipeline	
2026-06-03T16:35:37.6691775+00:00	PipelineWorkspace	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\PipelineWS	
2026-06-03T16:35:37.6694754+00:00	TransformWorkspace	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\TransformWS	
2026-06-03T16:35:37.6697844+00:00	BindingWorkspace	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\BindingWS	
2026-06-03T16:35:37.6818062+00:00	LeaseAcquired	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\OrchestrationWS	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\leases\b30631311a63a1938a1d960e11d1b12772a5b649874a11ab9e9983ed17563480.tsv
2026-06-03T16:35:37.6829799+00:00	Phase	Loading	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\OrchestrationWS
2026-06-03T16:35:37.9359648+00:00	Phase	Building	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\OrchestrationWS
2026-06-03T16:35:37.9495583+00:00	Phase	Saving	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\OrchestrationWS
2026-06-03T16:35:38.0382320+00:00	RetryPolicyResolved	DefaultRetryPolicy	MaxAttempts=3; RetryableFailureClasses=6
2026-06-03T16:35:38.0418261+00:00	RunPlanReady	DefaultRunPlan	137
2026-06-03T16:35:38.2074544+00:00	WorkerStarting	ExtractSeed01	meta-pipeline
2026-06-03T16:35:40.7076056+00:00	WorkerStarted	ExtractSeed01	22220
2026-06-03T16:35:40.7080667+00:00	WorkerControlPipe	ExtractSeed01	meta-orchestration-0334f9c1400f456cbd71644a0d4153b6
2026-06-03T16:35:40.7084844+00:00	WorkerLog	ExtractSeed01	stdout=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-163537_9d2400f657944cec8b9eb52e8c2451f0\logs\ExtractSeed01-22220.stdout.log; stderr=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-163537_9d2400f657944cec8b9eb52e8c2451f0\logs\ExtractSeed01-22220.stderr.log
2026-06-03T16:35:40.7126951+00:00	WorkerStarting	ExtractSeed02	meta-pipeline
2026-06-03T16:35:40.8016646+00:00	WorkerStarted	ExtractSeed02	24504
2026-06-03T16:35:40.8023842+00:00	WorkerControlPipe	ExtractSeed02	meta-orchestration-d09bb1e4d61d44e4b3d73ca8a449aa51
