OccurredAtUtc	EventKind	Subject	Detail
2026-06-03T16:51:14.9872051+00:00	RunStarted	orchestration	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\OrchestrationWS
2026-06-03T16:51:14.9968673+00:00	Process	meta-orchestration	4960
2026-06-03T16:51:14.9972376+00:00	PipelineExecutable	meta-pipeline	
2026-06-03T16:51:14.9975136+00:00	PipelineWorkspace	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\PipelineWS	
2026-06-03T16:51:14.9977239+00:00	TransformWorkspace	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\TransformWS	
2026-06-03T16:51:14.9979687+00:00	BindingWorkspace	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\BindingWS	
2026-06-03T16:51:15.0070920+00:00	LeaseAcquired	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\OrchestrationWS	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\leases\b30631311a63a1938a1d960e11d1b12772a5b649874a11ab9e9983ed17563480.tsv
2026-06-03T16:51:15.0084879+00:00	Phase	Loading	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\OrchestrationWS
2026-06-03T16:51:15.0849029+00:00	Phase	Building	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\OrchestrationWS
2026-06-03T16:51:15.0951408+00:00	Phase	Saving	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\OrchestrationWS
2026-06-03T16:51:15.1538565+00:00	RetryPolicyResolved	DefaultRetryPolicy	MaxAttempts=3; RetryableFailureClasses=6
2026-06-03T16:51:15.1567213+00:00	RunPlanReady	DefaultRunPlan	137
2026-06-03T16:51:15.2040829+00:00	WorkerStarting	ExtractSeed01	meta-pipeline
2026-06-03T16:51:15.2872738+00:00	WorkerStarted	ExtractSeed01	10320
2026-06-03T16:51:15.2877231+00:00	WorkerControlPipe	ExtractSeed01	meta-orchestration-cfd6682826f145c79d106cf6477edb67
2026-06-03T16:51:15.2880992+00:00	WorkerLog	ExtractSeed01	stdout=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-165114_89d168495a1e4d0688f9f76490956098\logs\ExtractSeed01-10320.stdout.log; stderr=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-165114_89d168495a1e4d0688f9f76490956098\logs\ExtractSeed01-10320.stderr.log
2026-06-03T16:51:15.2914062+00:00	WorkerStarting	ExtractSeed02	meta-pipeline
2026-06-03T16:51:15.3595619+00:00	WorkerStarted	ExtractSeed02	28960
2026-06-03T16:51:15.3598424+00:00	WorkerControlPipe	ExtractSeed02	meta-orchestration-657ce24505304bbaa48715268f8b26bc
2026-06-03T16:51:15.3602078+00:00	WorkerLog	ExtractSeed02	stdout=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-165114_89d168495a1e4d0688f9f76490956098\logs\ExtractSeed02-28960.stdout.log; stderr=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-165114_89d168495a1e4d0688f9f76490956098\logs\ExtractSeed02-28960.stderr.log
2026-06-03T16:51:15.3632698+00:00	WorkerEvent	ExtractSeed01	WorkerOnline; ExitCode=0; online
2026-06-03T16:51:15.3683562+00:00	WorkerStarting	ExtractSeed03	meta-pipeline
2026-06-03T16:51:15.4369794+00:00	WorkerStarted	ExtractSeed03	26184
2026-06-03T16:51:15.4372887+00:00	WorkerControlPipe	ExtractSeed03	meta-orchestration-96ba538438384d9b8543fa84aaec9aab
2026-06-03T16:51:15.4375711+00:00	WorkerLog	ExtractSeed03	stdout=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-165114_89d168495a1e4d0688f9f76490956098\logs\ExtractSeed03-26184.stdout.log; stderr=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-165114_89d168495a1e4d0688f9f76490956098\logs\ExtractSeed03-26184.stderr.log
