OccurredAtUtc	EventKind	Subject	Detail
2026-06-03T16:53:03.6278927+00:00	RunStarted	orchestration	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\OrchestrationWS
2026-06-03T16:53:03.6370459+00:00	Process	meta-orchestration	22004
2026-06-03T16:53:03.6373567+00:00	PipelineExecutable	meta-pipeline	
2026-06-03T16:53:03.6376238+00:00	PipelineWorkspace	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\PipelineWS	
2026-06-03T16:53:03.6378346+00:00	TransformWorkspace	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\TransformWS	
2026-06-03T16:53:03.6380595+00:00	BindingWorkspace	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\BindingWS	
2026-06-03T16:53:03.6465354+00:00	LeaseAcquired	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\OrchestrationWS	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\leases\b30631311a63a1938a1d960e11d1b12772a5b649874a11ab9e9983ed17563480.tsv
2026-06-03T16:53:03.6475547+00:00	Phase	Loading	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\OrchestrationWS
2026-06-03T16:53:03.7233064+00:00	Phase	Building	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\OrchestrationWS
2026-06-03T16:53:03.7338660+00:00	Phase	Saving	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\OrchestrationWS
2026-06-03T16:53:03.7932056+00:00	RetryPolicyResolved	DefaultRetryPolicy	MaxAttempts=3; RetryableFailureClasses=6
2026-06-03T16:53:03.7960043+00:00	RunPlanReady	DefaultRunPlan	137
2026-06-03T16:53:03.8417657+00:00	WorkerStarting	ExtractSeed01	meta-pipeline
2026-06-03T16:53:03.9215268+00:00	WorkerStarted	ExtractSeed01	8456
2026-06-03T16:53:03.9218901+00:00	WorkerControlPipe	ExtractSeed01	meta-orchestration-9714c8dfae9249f4aaee1e6cef6f580f
2026-06-03T16:53:03.9222169+00:00	WorkerLog	ExtractSeed01	stdout=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-165303_1ab41a1bffd9477a8a05d7de17342590\logs\ExtractSeed01-8456.stdout.log; stderr=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-165303_1ab41a1bffd9477a8a05d7de17342590\logs\ExtractSeed01-8456.stderr.log
2026-06-03T16:53:03.9255085+00:00	WorkerStarting	ExtractSeed02	meta-pipeline
2026-06-03T16:53:03.9939970+00:00	WorkerStarted	ExtractSeed02	20936
2026-06-03T16:53:03.9942708+00:00	WorkerControlPipe	ExtractSeed02	meta-orchestration-cf8de72a18924658ac9b19afbcaad425
2026-06-03T16:53:03.9945700+00:00	WorkerLog	ExtractSeed02	stdout=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-165303_1ab41a1bffd9477a8a05d7de17342590\logs\ExtractSeed02-20936.stdout.log; stderr=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-165303_1ab41a1bffd9477a8a05d7de17342590\logs\ExtractSeed02-20936.stderr.log
2026-06-03T16:53:03.9985289+00:00	WorkerEvent	ExtractSeed01	WorkerOnline; ExitCode=0; online
2026-06-03T16:53:04.0037468+00:00	WorkerStarting	ExtractSeed03	meta-pipeline
2026-06-03T16:53:04.0724106+00:00	WorkerStarted	ExtractSeed03	27812
2026-06-03T16:53:04.0727394+00:00	WorkerControlPipe	ExtractSeed03	meta-orchestration-ad51f226f91440a49b1ac0827edc9a42
2026-06-03T16:53:04.0729300+00:00	WorkerLog	ExtractSeed03	stdout=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-165303_1ab41a1bffd9477a8a05d7de17342590\logs\ExtractSeed03-27812.stdout.log; stderr=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-165303_1ab41a1bffd9477a8a05d7de17342590\logs\ExtractSeed03-27812.stderr.log
2026-06-03T16:53:04.0732278+00:00	WorkerEvent	ExtractSeed01	WorkerReady; ExitCode=0; ready
2026-06-03T16:53:04.0779989+00:00	StartPipeline	ExtractSeed01	ExtractSeed01
2026-06-03T16:53:04.0790164+00:00	WorkerEvent	ExtractSeed02	WorkerOnline; ExitCode=0; online
2026-06-03T16:53:04.0798524+00:00	WorkerStarting	ExtractSeed04	meta-pipeline
2026-06-03T16:53:04.1507251+00:00	WorkerStarted	ExtractSeed04	28700
2026-06-03T16:53:04.1510260+00:00	WorkerControlPipe	ExtractSeed04	meta-orchestration-d9f272b880954d92b697444d57585dc8
2026-06-03T16:53:04.1514472+00:00	WorkerLog	ExtractSeed04	stdout=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-165303_1ab41a1bffd9477a8a05d7de17342590\logs\ExtractSeed04-28700.stdout.log; stderr=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-165303_1ab41a1bffd9477a8a05d7de17342590\logs\ExtractSeed04-28700.stderr.log
2026-06-03T16:53:04.1518386+00:00	WorkerEvent	ExtractSeed02	WorkerReady; ExitCode=0; ready
2026-06-03T16:53:04.1524629+00:00	StartPipeline	ExtractSeed02	ExtractSeed02
2026-06-03T16:53:04.1529493+00:00	WorkerEvent	ExtractSeed03	WorkerOnline; ExitCode=0; online
2026-06-03T16:53:04.1535339+00:00	WorkerStarting	ExtractSeed05	meta-pipeline
2026-06-03T16:53:04.2282129+00:00	WorkerStarted	ExtractSeed05	27984
2026-06-03T16:53:04.2286295+00:00	WorkerControlPipe	ExtractSeed05	meta-orchestration-de0e489ed84b4c5e8122bc4f0f1671b1
2026-06-03T16:53:04.2289478+00:00	WorkerLog	ExtractSeed05	stdout=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-165303_1ab41a1bffd9477a8a05d7de17342590\logs\ExtractSeed05-27984.stdout.log; stderr=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-165303_1ab41a1bffd9477a8a05d7de17342590\logs\ExtractSeed05-27984.stderr.log
2026-06-03T16:53:04.2293461+00:00	WorkerEvent	ExtractSeed03	WorkerReady; ExitCode=0; ready
2026-06-03T16:53:04.2302191+00:00	StartPipeline	ExtractSeed03	ExtractSeed03
2026-06-03T16:53:04.2308516+00:00	WorkerEvent	ExtractSeed04	WorkerOnline; ExitCode=0; online
2026-06-03T16:53:04.2314657+00:00	WorkerStarting	ExtractSeed06	meta-pipeline
2026-06-03T16:53:04.8655560+00:00	WorkerStarted	ExtractSeed06	8296
2026-06-03T16:53:04.8661150+00:00	WorkerControlPipe	ExtractSeed06	meta-orchestration-8d9cb74ab2db4af7bfcd470c3b3fc9b0
2026-06-03T16:53:04.8665006+00:00	WorkerLog	ExtractSeed06	stdout=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-165303_1ab41a1bffd9477a8a05d7de17342590\logs\ExtractSeed06-8296.stdout.log; stderr=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-165303_1ab41a1bffd9477a8a05d7de17342590\logs\ExtractSeed06-8296.stderr.log
2026-06-03T16:53:04.8668448+00:00	WorkerEvent	ExtractSeed04	WorkerReady; ExitCode=0; ready
2026-06-03T16:53:04.8676947+00:00	StartPipeline	ExtractSeed04	ExtractSeed04
2026-06-03T16:53:04.8681765+00:00	WorkerEvent	ExtractSeed01	PipelineStarted; ExitCode=0; pipeline started
2026-06-03T16:53:04.8688018+00:00	WorkerEvent	ExtractSeed02	PipelineStarted; ExitCode=0; pipeline started
2026-06-03T16:53:04.8692359+00:00	WorkerEvent	ExtractSeed03	PipelineStarted; ExitCode=0; pipeline started
2026-06-03T16:53:04.8697221+00:00	WorkerEvent	ExtractSeed05	WorkerOnline; ExitCode=0; online
2026-06-03T16:53:04.8700972+00:00	WorkerEvent	ExtractSeed06	WorkerOnline; ExitCode=0; online
2026-06-03T16:53:04.8708391+00:00	WorkerStarting	ExtractSeed07	meta-pipeline
2026-06-03T16:53:05.8714725+00:00	WorkerStarted	ExtractSeed07	1132
2026-06-03T16:53:05.8723964+00:00	WorkerControlPipe	ExtractSeed07	meta-orchestration-b3fd554dcb774825ae834d14e12fa008
2026-06-03T16:53:05.8733089+00:00	WorkerLog	ExtractSeed07	stdout=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-165303_1ab41a1bffd9477a8a05d7de17342590\logs\ExtractSeed07-1132.stdout.log; stderr=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-165303_1ab41a1bffd9477a8a05d7de17342590\logs\ExtractSeed07-1132.stderr.log
2026-06-03T16:53:05.8741593+00:00	WorkerEvent	ExtractSeed01.extract-seed-01	TaskReady; ExitCode=0; 
2026-06-03T16:53:05.8792834+00:00	WorkerEvent	ExtractSeed02.extract-seed-02	TaskReady; ExitCode=0; 
2026-06-03T16:53:05.8797682+00:00	WorkerEvent	ExtractSeed03.extract-seed-03	TaskReady; ExitCode=0; 
2026-06-03T16:53:05.8802169+00:00	WorkerEvent	ExtractSeed05	WorkerReady; ExitCode=0; ready
2026-06-03T16:53:05.8808299+00:00	StartPipeline	ExtractSeed05	ExtractSeed05
2026-06-03T16:53:05.8813226+00:00	WorkerEvent	ExtractSeed04	PipelineStarted; ExitCode=0; pipeline started
2026-06-03T16:53:05.8818855+00:00	WorkerEvent	ExtractSeed06	WorkerReady; ExitCode=0; ready
2026-06-03T16:53:05.8824546+00:00	StartPipeline	ExtractSeed06	ExtractSeed06
2026-06-03T16:53:05.8828466+00:00	WorkerEvent	ExtractSeed04.extract-seed-04	TaskReady; ExitCode=0; 
2026-06-03T16:53:05.8832378+00:00	WorkerEvent	ExtractSeed07	WorkerOnline; ExitCode=0; online
2026-06-03T16:53:05.8912432+00:00	GrantTask	ExtractSeed01.extract-seed-01	ExtractSeed01.extract-seed-01; GrantId=grant-1; Attempt=1
2026-06-03T16:53:05.8918458+00:00	GrantTask	ExtractSeed02.extract-seed-02	ExtractSeed02.extract-seed-02; GrantId=grant-2; Attempt=1
2026-06-03T16:53:05.8921578+00:00	GrantTask	ExtractSeed03.extract-seed-03	ExtractSeed03.extract-seed-03; GrantId=grant-3; Attempt=1
2026-06-03T16:53:05.8926653+00:00	GrantTask	ExtractSeed04.extract-seed-04	ExtractSeed04.extract-seed-04; GrantId=grant-4; Attempt=1
2026-06-03T16:53:05.8929386+00:00	WorkerStarting	ExtractSeed08	meta-pipeline
2026-06-03T16:53:06.8948304+00:00	WorkerStarted	ExtractSeed08	14648
2026-06-03T16:53:06.8959357+00:00	WorkerControlPipe	ExtractSeed08	meta-orchestration-b29de8a1273841da935780253df56f1f
2026-06-03T16:53:06.8962840+00:00	WorkerLog	ExtractSeed08	stdout=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-165303_1ab41a1bffd9477a8a05d7de17342590\logs\ExtractSeed08-14648.stdout.log; stderr=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-165303_1ab41a1bffd9477a8a05d7de17342590\logs\ExtractSeed08-14648.stderr.log
2026-06-03T16:53:06.8967487+00:00	WorkerEvent	ExtractSeed01.extract-seed-01	GrantAccepted; ExitCode=0; 
2026-06-03T16:53:06.8986530+00:00	WorkerEvent	ExtractSeed02.extract-seed-02	GrantAccepted; ExitCode=0; 
2026-06-03T16:53:06.8992531+00:00	WorkerEvent	ExtractSeed03.extract-seed-03	GrantAccepted; ExitCode=0; 
2026-06-03T16:53:06.8997852+00:00	WorkerEvent	ExtractSeed04.extract-seed-04	GrantAccepted; ExitCode=0; 
2026-06-03T16:53:06.9002532+00:00	WorkerEvent	ExtractSeed07	WorkerReady; ExitCode=0; ready
2026-06-03T16:53:06.9009839+00:00	StartPipeline	ExtractSeed07	ExtractSeed07
2026-06-03T16:53:06.9015480+00:00	WorkerEvent	ExtractSeed01.extract-seed-01	TaskStarted; ExitCode=0; 
2026-06-03T16:53:06.9027824+00:00	WorkerEvent	ExtractSeed02.extract-seed-02	TaskStarted; ExitCode=0; 
2026-06-03T16:53:06.9033857+00:00	WorkerEvent	ExtractSeed03.extract-seed-03	TaskStarted; ExitCode=0; 
2026-06-03T16:53:06.9038945+00:00	WorkerEvent	ExtractSeed04.extract-seed-04	TaskStarted; ExitCode=0; 
2026-06-03T16:53:06.9043407+00:00	WorkerEvent	ExtractSeed05	PipelineStarted; ExitCode=0; pipeline started
2026-06-03T16:53:06.9049805+00:00	WorkerEvent	ExtractSeed06	PipelineStarted; ExitCode=0; pipeline started
2026-06-03T16:53:06.9057202+00:00	WorkerEvent	ExtractSeed08	WorkerOnline; ExitCode=0; online
2026-06-03T16:53:06.9081138+00:00	WorkerStarting	AuditHairball	meta-pipeline
2026-06-03T16:53:07.3686954+00:00	WorkerStarted	AuditHairball	19712
2026-06-03T16:53:07.3691751+00:00	WorkerControlPipe	AuditHairball	meta-orchestration-b8ff658bdcb5402293cee771948080b3
2026-06-03T16:53:07.3694883+00:00	WorkerLog	AuditHairball	stdout=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-165303_1ab41a1bffd9477a8a05d7de17342590\logs\AuditHairball-19712.stdout.log; stderr=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-165303_1ab41a1bffd9477a8a05d7de17342590\logs\AuditHairball-19712.stderr.log
2026-06-03T16:53:07.3699357+00:00	WorkerEvent	ExtractSeed05.extract-seed-05	TaskReady; ExitCode=0; 
2026-06-03T16:53:07.3709447+00:00	WorkerEvent	ExtractSeed06.extract-seed-06	TaskReady; ExitCode=0; 
2026-06-03T16:53:07.3718928+00:00	WorkerEvent	ExtractSeed08	WorkerReady; ExitCode=0; ready
2026-06-03T16:53:07.3728500+00:00	StartPipeline	ExtractSeed08	ExtractSeed08
2026-06-03T16:53:07.3734557+00:00	WorkerEvent	ExtractSeed01.extract-seed-01	TaskSucceeded; ExitCode=0; 
2026-06-03T16:53:07.3787235+00:00	TaskSucceeded	ExtractSeed01.extract-seed-01	0
2026-06-03T16:53:07.3793365+00:00	WorkerEvent	ExtractSeed04.extract-seed-04	TaskSucceeded; ExitCode=0; 
2026-06-03T16:53:07.3799394+00:00	TaskSucceeded	ExtractSeed04.extract-seed-04	0
2026-06-03T16:53:07.3802811+00:00	WorkerEvent	AuditHairball	WorkerOnline; ExitCode=0; online
2026-06-03T16:53:07.3834749+00:00	GrantTask	ExtractSeed05.extract-seed-05	ExtractSeed05.extract-seed-05; GrantId=grant-5; Attempt=1
2026-06-03T16:53:07.3840546+00:00	GrantTask	ExtractSeed06.extract-seed-06	ExtractSeed06.extract-seed-06; GrantId=grant-6; Attempt=1
2026-06-03T16:53:07.3844457+00:00	WorkerStarting	BridgeL01L02	meta-pipeline
2026-06-03T16:53:07.4668545+00:00	WorkerStarted	BridgeL01L02	12916
2026-06-03T16:53:07.4671716+00:00	WorkerControlPipe	BridgeL01L02	meta-orchestration-7e6125fa8f214d9d8e9bcdb67c831381
2026-06-03T16:53:07.4674690+00:00	WorkerLog	BridgeL01L02	stdout=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-165303_1ab41a1bffd9477a8a05d7de17342590\logs\BridgeL01L02-12916.stdout.log; stderr=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-165303_1ab41a1bffd9477a8a05d7de17342590\logs\BridgeL01L02-12916.stderr.log
2026-06-03T16:53:07.4677907+00:00	WorkerEvent	ExtractSeed02.extract-seed-02	TaskSucceeded; ExitCode=0; 
2026-06-03T16:53:07.4682370+00:00	TaskSucceeded	ExtractSeed02.extract-seed-02	0
2026-06-03T16:53:07.4684950+00:00	WorkerEvent	ExtractSeed03.extract-seed-03	TaskSucceeded; ExitCode=0; 
2026-06-03T16:53:07.4689570+00:00	TaskSucceeded	ExtractSeed03.extract-seed-03	0
2026-06-03T16:53:07.4692880+00:00	WorkerEvent	ExtractSeed05.extract-seed-05	GrantAccepted; ExitCode=0; 
2026-06-03T16:53:07.4700109+00:00	WorkerEvent	ExtractSeed06.extract-seed-06	GrantAccepted; ExitCode=0; 
2026-06-03T16:53:07.4705543+00:00	WorkerEvent	ExtractSeed05.extract-seed-05	TaskStarted; ExitCode=0; 
2026-06-03T16:53:07.4710051+00:00	WorkerEvent	ExtractSeed06.extract-seed-06	TaskStarted; ExitCode=0; 
2026-06-03T16:53:07.4714299+00:00	WorkerEvent	AuditHairball	WorkerReady; ExitCode=0; ready
2026-06-03T16:53:07.4722703+00:00	StartPipeline	AuditHairball	AuditHairball
2026-06-03T16:53:07.4740077+00:00	WorkerStarting	BridgeL03L04	meta-pipeline
2026-06-03T16:53:07.5719705+00:00	WorkerStarted	BridgeL03L04	24004
2026-06-03T16:53:07.5723108+00:00	WorkerControlPipe	BridgeL03L04	meta-orchestration-b59739405c21417682fa7980508eceea
