OccurredAtUtc	EventKind	Subject	Detail
2026-06-03T17:03:36.6865653+00:00	RunStarted	orchestration	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\OrchestrationWS
2026-06-03T17:03:36.6990249+00:00	Process	meta-orchestration	30392
2026-06-03T17:03:36.6994555+00:00	PipelineExecutable	meta-pipeline	
2026-06-03T17:03:36.6997232+00:00	PipelineWorkspace	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\PipelineWS	
2026-06-03T17:03:36.6999732+00:00	TransformWorkspace	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\TransformWS	
2026-06-03T17:03:36.7002069+00:00	BindingWorkspace	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\BindingWS	
2026-06-03T17:03:36.7175719+00:00	LeaseAcquired	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\OrchestrationWS	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\leases\b30631311a63a1938a1d960e11d1b12772a5b649874a11ab9e9983ed17563480.tsv
2026-06-03T17:03:36.7191155+00:00	Phase	Loading	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\OrchestrationWS
2026-06-03T17:03:36.8264653+00:00	Phase	Building	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\OrchestrationWS
2026-06-03T17:03:36.8406480+00:00	Phase	Saving	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\OrchestrationWS
2026-06-03T17:03:36.9289503+00:00	RetryPolicyResolved	DefaultRetryPolicy	MaxAttempts=3; RetryableFailureClasses=6
2026-06-03T17:03:36.9326797+00:00	RunPlanReady	DefaultRunPlan	137
2026-06-03T17:03:37.0073786+00:00	WorkerStarting	ExtractSeed01	meta-pipeline
2026-06-03T17:03:37.1167558+00:00	WorkerStarted	ExtractSeed01	19308
2026-06-03T17:03:37.1173246+00:00	WorkerControlPipe	ExtractSeed01	meta-orchestration-defb29418a1d41c0a0921a23893fdac5
2026-06-03T17:03:37.1178439+00:00	WorkerLog	ExtractSeed01	stdout=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-170336_46327b50f01a433d8bb3ad9d12fb1de2\logs\ExtractSeed01-19308.stdout.log; stderr=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-170336_46327b50f01a433d8bb3ad9d12fb1de2\logs\ExtractSeed01-19308.stderr.log
2026-06-03T17:03:37.1237317+00:00	WorkerStarting	ExtractSeed02	meta-pipeline
2026-06-03T17:03:37.2313313+00:00	WorkerStarted	ExtractSeed02	11800
2026-06-03T17:03:37.2317441+00:00	WorkerControlPipe	ExtractSeed02	meta-orchestration-f44bc7ead0e24dd884e07efda2f08b1e
