OccurredAtUtc	EventKind	Subject	Detail
2026-06-03T18:15:33.7646605+00:00	RunStarted	orchestration	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\OrchestrationWS
2026-06-03T18:15:33.7745850+00:00	Process	meta-orchestration	13308
2026-06-03T18:15:33.7748702+00:00	PipelineExecutable	meta-pipeline	
2026-06-03T18:15:33.7751260+00:00	PipelineWorkspace	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\PipelineWS	
2026-06-03T18:15:33.7753216+00:00	TransformWorkspace	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\TransformWS	
2026-06-03T18:15:33.7755079+00:00	BindingWorkspace	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\BindingWS	
2026-06-03T18:15:33.7838162+00:00	LeaseAcquired	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\OrchestrationWS	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\leases\b30631311a63a1938a1d960e11d1b12772a5b649874a11ab9e9983ed17563480.tsv
2026-06-03T18:15:33.7849028+00:00	Phase	Loading	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\OrchestrationWS
2026-06-03T18:15:33.8676633+00:00	Phase	Building	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\OrchestrationWS
2026-06-03T18:15:33.8792616+00:00	Phase	Saving	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\OrchestrationWS
2026-06-03T18:15:33.9441795+00:00	RetryPolicyResolved	DefaultRetryPolicy	MaxAttempts=3; RetryableFailureClasses=6
2026-06-03T18:15:33.9471220+00:00	RunPlanReady	DefaultRunPlan	137
2026-06-03T18:15:33.9996531+00:00	WorkerStarting	ExtractSeed01	meta-pipeline
2026-06-03T18:15:34.0818933+00:00	WorkerStarted	ExtractSeed01	22836
2026-06-03T18:15:34.0822257+00:00	WorkerControlPipe	ExtractSeed01	meta-orchestration-ca48de44ef07419b858d57b46fb9bd59
2026-06-03T18:15:34.0826516+00:00	WorkerLog	ExtractSeed01	stdout=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-181533_745b3556c2b24d278b4c46f22d88e321\logs\ExtractSeed01-22836.stdout.log; stderr=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-181533_745b3556c2b24d278b4c46f22d88e321\logs\ExtractSeed01-22836.stderr.log
2026-06-03T18:15:34.0855074+00:00	WorkerStarting	ExtractSeed02	meta-pipeline
2026-06-03T18:15:34.1587924+00:00	WorkerStarted	ExtractSeed02	19260
2026-06-03T18:15:34.1591069+00:00	WorkerControlPipe	ExtractSeed02	meta-orchestration-ec7e4afd0097427a80f972280bbc8791
2026-06-03T18:15:34.1593884+00:00	WorkerLog	ExtractSeed02	stdout=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-181533_745b3556c2b24d278b4c46f22d88e321\logs\ExtractSeed02-19260.stdout.log; stderr=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-181533_745b3556c2b24d278b4c46f22d88e321\logs\ExtractSeed02-19260.stderr.log
2026-06-03T18:15:34.1621246+00:00	WorkerEvent	ExtractSeed01	WorkerOnline; ExitCode=0; online
2026-06-03T18:15:34.1674295+00:00	WorkerStarting	ExtractSeed03	meta-pipeline
2026-06-03T18:15:34.2412389+00:00	WorkerStarted	ExtractSeed03	8592
2026-06-03T18:15:34.2415480+00:00	WorkerControlPipe	ExtractSeed03	meta-orchestration-a1a6bb0afa7542e9a164efaa5e589d93
