OccurredAtUtc	EventKind	Subject	Detail
2026-06-03T18:32:13.7874969+00:00	RunStarted	orchestration	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\OrchestrationWS
2026-06-03T18:32:13.7986375+00:00	Process	meta-orchestration	7484
2026-06-03T18:32:13.7989244+00:00	PipelineExecutable	meta-pipeline	
2026-06-03T18:32:13.7991488+00:00	PipelineWorkspace	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\PipelineWS	
2026-06-03T18:32:13.7993409+00:00	TransformWorkspace	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\TransformWS	
2026-06-03T18:32:13.7995329+00:00	BindingWorkspace	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\BindingWS	
2026-06-03T18:32:13.8099184+00:00	LeaseAcquired	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\OrchestrationWS	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\leases\b30631311a63a1938a1d960e11d1b12772a5b649874a11ab9e9983ed17563480.tsv
2026-06-03T18:32:13.8120196+00:00	Phase	Loading	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\OrchestrationWS
2026-06-03T18:32:13.9007561+00:00	Phase	Building	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\OrchestrationWS
2026-06-03T18:32:13.9127529+00:00	Phase	Saving	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\OrchestrationWS
2026-06-03T18:32:13.9849859+00:00	RetryPolicyResolved	DefaultRetryPolicy	MaxAttempts=3; RetryableFailureClasses=6
2026-06-03T18:32:13.9877552+00:00	RunPlanReady	DefaultRunPlan	137
2026-06-03T18:32:14.0436535+00:00	WorkerStarting	ExtractSeed01	meta-pipeline
2026-06-03T18:32:14.1376662+00:00	WorkerStarted	ExtractSeed01	23368
2026-06-03T18:32:14.1379931+00:00	WorkerControlPipe	ExtractSeed01	meta-orchestration-a84136e5206943cc9f3299b812535dbf
2026-06-03T18:32:14.1382921+00:00	WorkerLog	ExtractSeed01	stdout=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-183213_b9419a6fde1f49c98edced0149b915bc\logs\ExtractSeed01-23368.stdout.log; stderr=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-183213_b9419a6fde1f49c98edced0149b915bc\logs\ExtractSeed01-23368.stderr.log
2026-06-03T18:32:14.1444929+00:00	WorkerStarting	ExtractSeed02	meta-pipeline
2026-06-03T18:32:14.2233855+00:00	WorkerStarted	ExtractSeed02	5240
2026-06-03T18:32:14.2237687+00:00	WorkerControlPipe	ExtractSeed02	meta-orchestration-bf89eb15cdec4e81bdb17df36cff422d
2026-06-03T18:32:14.2240903+00:00	WorkerLog	ExtractSeed02	stdout=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-183213_b9419a6fde1f49c98edced0149b915bc\logs\ExtractSeed02-5240.stdout.log; stderr=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-183213_b9419a6fde1f49c98edced0149b915bc\logs\ExtractSeed02-5240.stderr.log
2026-06-03T18:32:14.2303401+00:00	WorkerEvent	ExtractSeed01	WorkerOnline; ExitCode=0; online
