OccurredAtUtc	EventKind	Subject	Detail
2026-06-03T18:48:45.1569271+00:00	RunStarted	orchestration	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\OrchestrationWS
2026-06-03T18:48:45.1662513+00:00	Process	meta-orchestration	26788
2026-06-03T18:48:45.1670604+00:00	PipelineExecutable	meta-pipeline	
2026-06-03T18:48:45.1674230+00:00	PipelineWorkspace	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\PipelineWS	
2026-06-03T18:48:45.1676680+00:00	TransformWorkspace	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\TransformWS	
2026-06-03T18:48:45.1680969+00:00	BindingWorkspace	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\BindingWS	
2026-06-03T18:48:45.1777908+00:00	LeaseAcquired	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\OrchestrationWS	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\leases\b30631311a63a1938a1d960e11d1b12772a5b649874a11ab9e9983ed17563480.tsv
2026-06-03T18:48:45.1789389+00:00	Phase	Loading	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\OrchestrationWS
2026-06-03T18:48:45.2713006+00:00	Phase	Building	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\OrchestrationWS
2026-06-03T18:48:45.2843425+00:00	Phase	Saving	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\OrchestrationWS
2026-06-03T18:48:45.3555968+00:00	RetryPolicyResolved	DefaultRetryPolicy	MaxAttempts=3; RetryableFailureClasses=6
2026-06-03T18:48:45.3583473+00:00	RunPlanReady	DefaultRunPlan	137
2026-06-03T18:48:45.4129864+00:00	WorkerStarting	ExtractSeed01	meta-pipeline
2026-06-03T18:48:45.4993956+00:00	WorkerStarted	ExtractSeed01	23320
2026-06-03T18:48:45.4998640+00:00	WorkerControlPipe	ExtractSeed01	meta-orchestration-236d0e306d574f2a85d98e0777ff59ca
2026-06-03T18:48:45.5001752+00:00	WorkerLog	ExtractSeed01	stdout=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-184845_ae6b7ebedfd54bb0a97473c44e0b6763\logs\ExtractSeed01-23320.stdout.log; stderr=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-184845_ae6b7ebedfd54bb0a97473c44e0b6763\logs\ExtractSeed01-23320.stderr.log
2026-06-03T18:48:45.5045604+00:00	WorkerStarting	ExtractSeed02	meta-pipeline
2026-06-03T18:48:45.5861005+00:00	WorkerStarted	ExtractSeed02	13152
2026-06-03T18:48:45.5865968+00:00	WorkerControlPipe	ExtractSeed02	meta-orchestration-44ef889808c14cc8b4b49281f4c004c6
2026-06-03T18:48:45.5868546+00:00	WorkerLog	ExtractSeed02	stdout=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-184845_ae6b7ebedfd54bb0a97473c44e0b6763\logs\ExtractSeed02-13152.stdout.log; stderr=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-184845_ae6b7ebedfd54bb0a97473c44e0b6763\logs\ExtractSeed02-13152.stderr.log
2026-06-03T18:48:45.5899133+00:00	WorkerEvent	ExtractSeed01	WorkerOnline; ExitCode=0; online
2026-06-03T18:48:45.5971297+00:00	WorkerStarting	ExtractSeed03	meta-pipeline
2026-06-03T18:48:45.6784835+00:00	WorkerStarted	ExtractSeed03	7876
2026-06-03T18:48:45.6787734+00:00	WorkerControlPipe	ExtractSeed03	meta-orchestration-903fb5d9f0c548828368c062cb18b4e6
2026-06-03T18:48:45.6789930+00:00	WorkerLog	ExtractSeed03	stdout=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-184845_ae6b7ebedfd54bb0a97473c44e0b6763\logs\ExtractSeed03-7876.stdout.log; stderr=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-184845_ae6b7ebedfd54bb0a97473c44e0b6763\logs\ExtractSeed03-7876.stderr.log
2026-06-03T18:48:45.6793248+00:00	WorkerEvent	ExtractSeed01	WorkerReady; ExitCode=0; ready
2026-06-03T18:48:45.6858416+00:00	StartPipeline	ExtractSeed01	ExtractSeed01
2026-06-03T18:48:45.6867140+00:00	WorkerEvent	ExtractSeed02	WorkerOnline; ExitCode=0; online
2026-06-03T18:48:45.6881245+00:00	WorkerStarting	ExtractSeed04	meta-pipeline
2026-06-03T18:48:45.7768254+00:00	WorkerStarted	ExtractSeed04	6008
2026-06-03T18:48:45.7771492+00:00	WorkerControlPipe	ExtractSeed04	meta-orchestration-7e673338968b44c0837ec91e2c6e3abc
2026-06-03T18:48:45.7773989+00:00	WorkerLog	ExtractSeed04	stdout=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-184845_ae6b7ebedfd54bb0a97473c44e0b6763\logs\ExtractSeed04-6008.stdout.log; stderr=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-184845_ae6b7ebedfd54bb0a97473c44e0b6763\logs\ExtractSeed04-6008.stderr.log
2026-06-03T18:48:45.7777464+00:00	WorkerEvent	ExtractSeed02	WorkerReady; ExitCode=0; ready
2026-06-03T18:48:45.7783598+00:00	StartPipeline	ExtractSeed02	ExtractSeed02
2026-06-03T18:48:45.7789736+00:00	WorkerEvent	ExtractSeed03	WorkerOnline; ExitCode=0; online
2026-06-03T18:48:45.7797365+00:00	WorkerStarting	ExtractSeed05	meta-pipeline
2026-06-03T18:48:45.8749245+00:00	WorkerStarted	ExtractSeed05	20072
2026-06-03T18:48:45.8753025+00:00	WorkerControlPipe	ExtractSeed05	meta-orchestration-61bdb779e4ec494f9985868fa8c97933
2026-06-03T18:48:45.8755650+00:00	WorkerLog	ExtractSeed05	stdout=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-184845_ae6b7ebedfd54bb0a97473c44e0b6763\logs\ExtractSeed05-20072.stdout.log; stderr=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-184845_ae6b7ebedfd54bb0a97473c44e0b6763\logs\ExtractSeed05-20072.stderr.log
2026-06-03T18:48:45.8759668+00:00	WorkerEvent	ExtractSeed03	WorkerReady; ExitCode=0; ready
2026-06-03T18:48:45.8767569+00:00	StartPipeline	ExtractSeed03	ExtractSeed03
2026-06-03T18:48:45.8774458+00:00	WorkerEvent	ExtractSeed04	WorkerOnline; ExitCode=0; online
2026-06-03T18:48:45.8782513+00:00	WorkerStarting	ExtractSeed06	meta-pipeline
2026-06-03T18:48:46.4334434+00:00	WorkerStarted	ExtractSeed06	31676
2026-06-03T18:48:46.4356780+00:00	WorkerControlPipe	ExtractSeed06	meta-orchestration-7cfcde4804fe462fa57b68fc185c3478
