OccurredAtUtc	EventKind	Subject	Detail
2026-06-03T18:57:16.4467772+00:00	RunStarted	orchestration	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\OrchestrationWS
2026-06-03T18:57:16.4560099+00:00	Process	meta-orchestration	30564
2026-06-03T18:57:16.4563031+00:00	PipelineExecutable	meta-pipeline	
2026-06-03T18:57:16.4566004+00:00	PipelineWorkspace	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\PipelineWS	
2026-06-03T18:57:16.4568432+00:00	TransformWorkspace	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\TransformWS	
2026-06-03T18:57:16.4571303+00:00	BindingWorkspace	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\BindingWS	
2026-06-03T18:57:16.4663019+00:00	LeaseAcquired	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\OrchestrationWS	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\leases\b30631311a63a1938a1d960e11d1b12772a5b649874a11ab9e9983ed17563480.tsv
2026-06-03T18:57:16.4673559+00:00	Phase	Loading	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\OrchestrationWS
2026-06-03T18:57:16.5488562+00:00	Phase	Building	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\OrchestrationWS
2026-06-03T18:57:16.5593705+00:00	Phase	Saving	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\OrchestrationWS
2026-06-03T18:57:16.6208977+00:00	RetryPolicyResolved	DefaultRetryPolicy	MaxAttempts=3; RetryableFailureClasses=6
2026-06-03T18:57:16.6237862+00:00	RunPlanReady	DefaultRunPlan	137
2026-06-03T18:57:16.6739209+00:00	WorkerStarting	ExtractSeed01	meta-pipeline
2026-06-03T18:57:16.7618909+00:00	WorkerStarted	ExtractSeed01	16652
2026-06-03T18:57:16.7622933+00:00	WorkerControlPipe	ExtractSeed01	meta-orchestration-b0621b4c5e744b31a4fbccf2136611c6
2026-06-03T18:57:16.7626120+00:00	WorkerLog	ExtractSeed01	stdout=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-185716_bb82a8c45ce24311ba67a7cf001329c5\logs\ExtractSeed01-16652.stdout.log; stderr=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-185716_bb82a8c45ce24311ba67a7cf001329c5\logs\ExtractSeed01-16652.stderr.log
2026-06-03T18:57:16.7669473+00:00	WorkerStarting	ExtractSeed02	meta-pipeline
2026-06-03T18:57:16.8448287+00:00	WorkerStarted	ExtractSeed02	31524
2026-06-03T18:57:16.8451838+00:00	WorkerControlPipe	ExtractSeed02	meta-orchestration-fedc7808045347519a1ee4f8bd24a4d2
2026-06-03T18:57:16.8454781+00:00	WorkerLog	ExtractSeed02	stdout=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-185716_bb82a8c45ce24311ba67a7cf001329c5\logs\ExtractSeed02-31524.stdout.log; stderr=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-185716_bb82a8c45ce24311ba67a7cf001329c5\logs\ExtractSeed02-31524.stderr.log
2026-06-03T18:57:16.8480655+00:00	WorkerEvent	ExtractSeed01	WorkerOnline; ExitCode=0; online
2026-06-03T18:57:16.8534329+00:00	WorkerStarting	ExtractSeed03	meta-pipeline
2026-06-03T18:57:16.9289378+00:00	WorkerStarted	ExtractSeed03	20016
2026-06-03T18:57:16.9292436+00:00	WorkerControlPipe	ExtractSeed03	meta-orchestration-90209d88d872409586736ec59a51a99a
2026-06-03T18:57:16.9294820+00:00	WorkerLog	ExtractSeed03	stdout=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-185716_bb82a8c45ce24311ba67a7cf001329c5\logs\ExtractSeed03-20016.stdout.log; stderr=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-185716_bb82a8c45ce24311ba67a7cf001329c5\logs\ExtractSeed03-20016.stderr.log
2026-06-03T18:57:16.9298888+00:00	WorkerEvent	ExtractSeed01	WorkerReady; ExitCode=0; ready
2026-06-03T18:57:16.9346004+00:00	StartPipeline	ExtractSeed01	ExtractSeed01
2026-06-03T18:57:16.9356251+00:00	WorkerEvent	ExtractSeed02	WorkerOnline; ExitCode=0; online
2026-06-03T18:57:16.9364469+00:00	WorkerStarting	ExtractSeed04	meta-pipeline
2026-06-03T18:57:17.0172029+00:00	WorkerStarted	ExtractSeed04	26636
2026-06-03T18:57:17.0175108+00:00	WorkerControlPipe	ExtractSeed04	meta-orchestration-b588c30e4cbf432b946195db6f4155c5
2026-06-03T18:57:17.0178135+00:00	WorkerLog	ExtractSeed04	stdout=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-185716_bb82a8c45ce24311ba67a7cf001329c5\logs\ExtractSeed04-26636.stdout.log; stderr=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-185716_bb82a8c45ce24311ba67a7cf001329c5\logs\ExtractSeed04-26636.stderr.log
2026-06-03T18:57:17.0182536+00:00	WorkerEvent	ExtractSeed02	WorkerReady; ExitCode=0; ready
2026-06-03T18:57:17.0190083+00:00	StartPipeline	ExtractSeed02	ExtractSeed02
2026-06-03T18:57:17.0195999+00:00	WorkerEvent	ExtractSeed03	WorkerOnline; ExitCode=0; online
2026-06-03T18:57:17.0202351+00:00	WorkerStarting	ExtractSeed05	meta-pipeline
2026-06-03T18:57:17.1208151+00:00	WorkerStarted	ExtractSeed05	29552
2026-06-03T18:57:17.1212016+00:00	WorkerControlPipe	ExtractSeed05	meta-orchestration-f34823a41a4a40ed8127de1b87feca85
2026-06-03T18:57:17.1215442+00:00	WorkerLog	ExtractSeed05	stdout=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-185716_bb82a8c45ce24311ba67a7cf001329c5\logs\ExtractSeed05-29552.stdout.log; stderr=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-185716_bb82a8c45ce24311ba67a7cf001329c5\logs\ExtractSeed05-29552.stderr.log
2026-06-03T18:57:17.1220800+00:00	WorkerEvent	ExtractSeed03	WorkerReady; ExitCode=0; ready
2026-06-03T18:57:17.1233928+00:00	StartPipeline	ExtractSeed03	ExtractSeed03
2026-06-03T18:57:17.1243633+00:00	WorkerEvent	ExtractSeed04	WorkerOnline; ExitCode=0; online
2026-06-03T18:57:17.1262282+00:00	WorkerStarting	ExtractSeed06	meta-pipeline
2026-06-03T18:57:17.7082031+00:00	WorkerStarted	ExtractSeed06	26840
2026-06-03T18:57:17.7087853+00:00	WorkerControlPipe	ExtractSeed06	meta-orchestration-c279546a23314305a975b7a1a72addcf
2026-06-03T18:57:17.7090338+00:00	WorkerLog	ExtractSeed06	stdout=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-185716_bb82a8c45ce24311ba67a7cf001329c5\logs\ExtractSeed06-26840.stdout.log; stderr=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-185716_bb82a8c45ce24311ba67a7cf001329c5\logs\ExtractSeed06-26840.stderr.log
2026-06-03T18:57:17.7094860+00:00	WorkerEvent	ExtractSeed04	WorkerReady; ExitCode=0; ready
2026-06-03T18:57:17.7107089+00:00	StartPipeline	ExtractSeed04	ExtractSeed04
2026-06-03T18:57:17.7116124+00:00	WorkerEvent	ExtractSeed01	PipelineStarted; ExitCode=0; pipeline started
2026-06-03T18:57:17.7128217+00:00	WorkerEvent	ExtractSeed02	PipelineStarted; ExitCode=0; pipeline started
2026-06-03T18:57:17.7134180+00:00	WorkerEvent	ExtractSeed03	PipelineStarted; ExitCode=0; pipeline started
2026-06-03T18:57:17.7139659+00:00	WorkerEvent	ExtractSeed05	WorkerOnline; ExitCode=0; online
2026-06-03T18:57:17.7146479+00:00	WorkerEvent	ExtractSeed06	WorkerOnline; ExitCode=0; online
2026-06-03T18:57:17.7156395+00:00	WorkerStarting	ExtractSeed07	meta-pipeline
2026-06-03T18:57:18.7342080+00:00	WorkerStarted	ExtractSeed07	20228
2026-06-03T18:57:18.7352556+00:00	WorkerControlPipe	ExtractSeed07	meta-orchestration-e08ae30091ca498dbe071df7faface40
