OccurredAtUtc	EventKind	Subject	Detail
2026-06-03T19:24:40.0899184+00:00	RunStarted	orchestration	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\OrchestrationWS
2026-06-03T19:24:40.0981805+00:00	Process	meta-orchestration	16052
2026-06-03T19:24:40.0984923+00:00	PipelineExecutable	meta-pipeline	
2026-06-03T19:24:40.0986918+00:00	PipelineWorkspace	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\PipelineWS	
2026-06-03T19:24:40.0988668+00:00	TransformWorkspace	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\TransformWS	
2026-06-03T19:24:40.0991718+00:00	BindingWorkspace	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\BindingWS	
2026-06-03T19:24:40.1078043+00:00	LeaseAcquired	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\OrchestrationWS	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\leases\b30631311a63a1938a1d960e11d1b12772a5b649874a11ab9e9983ed17563480.tsv
2026-06-03T19:24:40.1086133+00:00	Phase	Loading	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\OrchestrationWS
2026-06-03T19:24:40.1863858+00:00	Phase	Building	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\OrchestrationWS
2026-06-03T19:24:40.1970080+00:00	Phase	Saving	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\OrchestrationWS
2026-06-03T19:24:40.2581740+00:00	RetryPolicyResolved	DefaultRetryPolicy	MaxAttempts=3; RetryableFailureClasses=6
2026-06-03T19:24:40.2609428+00:00	RunPlanReady	DefaultRunPlan	137
2026-06-03T19:24:40.3134579+00:00	WorkerStarting	ExtractSeed01	meta-pipeline
2026-06-03T19:24:40.3958652+00:00	WorkerStarted	ExtractSeed01	31332
2026-06-03T19:24:40.3962275+00:00	WorkerControlPipe	ExtractSeed01	meta-orchestration-f7177f17c6124256a0b2055c2b468e20
2026-06-03T19:24:40.3966174+00:00	WorkerLog	ExtractSeed01	stdout=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-192440_c12f9e0cb1fc43a9a0146173e2224328\logs\ExtractSeed01-31332.stdout.log; stderr=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-192440_c12f9e0cb1fc43a9a0146173e2224328\logs\ExtractSeed01-31332.stderr.log
2026-06-03T19:24:40.4001343+00:00	WorkerStarting	ExtractSeed02	meta-pipeline
2026-06-03T19:24:40.4699358+00:00	WorkerStarted	ExtractSeed02	29600
2026-06-03T19:24:40.4702846+00:00	WorkerControlPipe	ExtractSeed02	meta-orchestration-410a7acfdbe6431d9f469adddd359713
2026-06-03T19:24:40.4705820+00:00	WorkerLog	ExtractSeed02	stdout=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-192440_c12f9e0cb1fc43a9a0146173e2224328\logs\ExtractSeed02-29600.stdout.log; stderr=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-192440_c12f9e0cb1fc43a9a0146173e2224328\logs\ExtractSeed02-29600.stderr.log
2026-06-03T19:24:40.4732573+00:00	WorkerEvent	ExtractSeed01	WorkerOnline; ExitCode=0; online
2026-06-03T19:24:40.4784119+00:00	WorkerStarting	ExtractSeed03	meta-pipeline
2026-06-03T19:24:40.5499837+00:00	WorkerStarted	ExtractSeed03	29284
2026-06-03T19:24:40.5502674+00:00	WorkerControlPipe	ExtractSeed03	meta-orchestration-3b64739956e14e05b2ac8493b46bee3f
2026-06-03T19:24:40.5505349+00:00	WorkerLog	ExtractSeed03	stdout=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-192440_c12f9e0cb1fc43a9a0146173e2224328\logs\ExtractSeed03-29284.stdout.log; stderr=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-192440_c12f9e0cb1fc43a9a0146173e2224328\logs\ExtractSeed03-29284.stderr.log
2026-06-03T19:24:40.5510235+00:00	WorkerEvent	ExtractSeed01	WorkerReady; ExitCode=0; ready
2026-06-03T19:24:40.5566694+00:00	StartPipeline	ExtractSeed01	ExtractSeed01
2026-06-03T19:24:40.5574814+00:00	WorkerEvent	ExtractSeed02	WorkerOnline; ExitCode=0; online
2026-06-03T19:24:40.5581312+00:00	WorkerStarting	ExtractSeed04	meta-pipeline
2026-06-03T19:24:40.6285776+00:00	WorkerStarted	ExtractSeed04	31540
2026-06-03T19:24:40.6288498+00:00	WorkerControlPipe	ExtractSeed04	meta-orchestration-accb7fc4b2e24e34bd54fd40458ca59e
