OccurredAtUtc	EventKind	Subject	Detail
2026-06-03T19:36:03.2244329+00:00	RunStarted	orchestration	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\OrchestrationWS
2026-06-03T19:36:03.2333426+00:00	Process	meta-orchestration	21416
2026-06-03T19:36:03.2337023+00:00	PipelineExecutable	meta-pipeline	
2026-06-03T19:36:03.2340405+00:00	PipelineWorkspace	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\PipelineWS	
2026-06-03T19:36:03.2342543+00:00	TransformWorkspace	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\TransformWS	
2026-06-03T19:36:03.2344773+00:00	BindingWorkspace	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\BindingWS	
2026-06-03T19:36:03.2469413+00:00	LeaseAcquired	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\OrchestrationWS	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\leases\b30631311a63a1938a1d960e11d1b12772a5b649874a11ab9e9983ed17563480.tsv
2026-06-03T19:36:03.2480810+00:00	Phase	Loading	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\OrchestrationWS
2026-06-03T19:36:03.3348593+00:00	Phase	Building	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\OrchestrationWS
2026-06-03T19:36:03.3455295+00:00	Phase	Saving	C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\OrchestrationWS
2026-06-03T19:36:03.4119977+00:00	RetryPolicyResolved	DefaultRetryPolicy	MaxAttempts=3; RetryableFailureClasses=6
2026-06-03T19:36:03.4148981+00:00	RunPlanReady	DefaultRunPlan	137
2026-06-03T19:36:03.4713333+00:00	WorkerStarting	ExtractSeed01	meta-pipeline
2026-06-03T19:36:03.5667288+00:00	WorkerStarted	ExtractSeed01	19812
2026-06-03T19:36:03.5672614+00:00	WorkerControlPipe	ExtractSeed01	meta-orchestration-14c623373d8948c48e055f2f9cb403eb
2026-06-03T19:36:03.5676888+00:00	WorkerLog	ExtractSeed01	stdout=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-193603_74360da14dd34e3a8b281efec21da86d\logs\ExtractSeed01-19812.stdout.log; stderr=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-193603_74360da14dd34e3a8b281efec21da86d\logs\ExtractSeed01-19812.stderr.log
2026-06-03T19:36:03.5717707+00:00	WorkerStarting	ExtractSeed02	meta-pipeline
2026-06-03T19:36:03.6437857+00:00	WorkerStarted	ExtractSeed02	3596
2026-06-03T19:36:03.6440740+00:00	WorkerControlPipe	ExtractSeed02	meta-orchestration-5ed75510789e44aeb669649c8b9a7ec4
2026-06-03T19:36:03.6442564+00:00	WorkerLog	ExtractSeed02	stdout=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-193603_74360da14dd34e3a8b281efec21da86d\logs\ExtractSeed02-3596.stdout.log; stderr=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-193603_74360da14dd34e3a8b281efec21da86d\logs\ExtractSeed02-3596.stderr.log
2026-06-03T19:36:03.6465870+00:00	WorkerEvent	ExtractSeed01	WorkerOnline; ExitCode=0; online
2026-06-03T19:36:03.6550407+00:00	WorkerStarting	ExtractSeed03	meta-pipeline
2026-06-03T19:36:03.7287402+00:00	WorkerStarted	ExtractSeed03	20048
2026-06-03T19:36:03.7290288+00:00	WorkerControlPipe	ExtractSeed03	meta-orchestration-2f17a901984b4a0dbe73f24a98333419
2026-06-03T19:36:03.7292166+00:00	WorkerLog	ExtractSeed03	stdout=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-193603_74360da14dd34e3a8b281efec21da86d\logs\ExtractSeed03-20048.stdout.log; stderr=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-193603_74360da14dd34e3a8b281efec21da86d\logs\ExtractSeed03-20048.stderr.log
2026-06-03T19:36:03.7296087+00:00	WorkerEvent	ExtractSeed01	WorkerReady; ExitCode=0; ready
2026-06-03T19:36:03.7349297+00:00	StartPipeline	ExtractSeed01	ExtractSeed01
2026-06-03T19:36:03.7361535+00:00	WorkerEvent	ExtractSeed02	WorkerOnline; ExitCode=0; online
2026-06-03T19:36:03.7368386+00:00	WorkerStarting	ExtractSeed04	meta-pipeline
2026-06-03T19:36:03.8140868+00:00	WorkerStarted	ExtractSeed04	31136
2026-06-03T19:36:03.8144306+00:00	WorkerControlPipe	ExtractSeed04	meta-orchestration-7fc813df79bc4ecab165d9d191da8738
2026-06-03T19:36:03.8146474+00:00	WorkerLog	ExtractSeed04	stdout=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-193603_74360da14dd34e3a8b281efec21da86d\logs\ExtractSeed04-31136.stdout.log; stderr=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-193603_74360da14dd34e3a8b281efec21da86d\logs\ExtractSeed04-31136.stderr.log
2026-06-03T19:36:03.8149704+00:00	WorkerEvent	ExtractSeed02	WorkerReady; ExitCode=0; ready
2026-06-03T19:36:03.8157285+00:00	StartPipeline	ExtractSeed02	ExtractSeed02
2026-06-03T19:36:03.8163430+00:00	WorkerEvent	ExtractSeed03	WorkerOnline; ExitCode=0; online
2026-06-03T19:36:03.8177874+00:00	WorkerStarting	ExtractSeed05	meta-pipeline
2026-06-03T19:36:03.9034470+00:00	WorkerStarted	ExtractSeed05	14104
2026-06-03T19:36:03.9037565+00:00	WorkerControlPipe	ExtractSeed05	meta-orchestration-1ab5ca4ef7944610be5365b8444d338b
2026-06-03T19:36:03.9040607+00:00	WorkerLog	ExtractSeed05	stdout=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-193603_74360da14dd34e3a8b281efec21da86d\logs\ExtractSeed05-14104.stdout.log; stderr=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-193603_74360da14dd34e3a8b281efec21da86d\logs\ExtractSeed05-14104.stderr.log
2026-06-03T19:36:03.9044019+00:00	WorkerEvent	ExtractSeed03	WorkerReady; ExitCode=0; ready
2026-06-03T19:36:03.9050089+00:00	StartPipeline	ExtractSeed03	ExtractSeed03
2026-06-03T19:36:03.9055512+00:00	WorkerEvent	ExtractSeed04	WorkerOnline; ExitCode=0; online
2026-06-03T19:36:03.9062768+00:00	WorkerStarting	ExtractSeed06	meta-pipeline
2026-06-03T19:36:04.4995341+00:00	WorkerStarted	ExtractSeed06	31476
2026-06-03T19:36:04.5001557+00:00	WorkerControlPipe	ExtractSeed06	meta-orchestration-97182300e1ba4d22b6dc79867f6b2557
2026-06-03T19:36:04.5005563+00:00	WorkerLog	ExtractSeed06	stdout=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-193603_74360da14dd34e3a8b281efec21da86d\logs\ExtractSeed06-31476.stdout.log; stderr=C:\Users\jimmy\Desktop\meta-bi\Samples\Demos\MetaOrchestrationHairballCliIntegration\Runs\hairball-seed-20260530\RunArtifacts\runs\20260603-193603_74360da14dd34e3a8b281efec21da86d\logs\ExtractSeed06-31476.stderr.log
2026-06-03T19:36:04.5010293+00:00	WorkerEvent	ExtractSeed04	WorkerReady; ExitCode=0; ready
2026-06-03T19:36:04.5029232+00:00	StartPipeline	ExtractSeed04	ExtractSeed04
2026-06-03T19:36:04.5036089+00:00	WorkerEvent	ExtractSeed01	PipelineStarted; ExitCode=0; pipeline started
2026-06-03T19:36:04.5044577+00:00	WorkerEvent	ExtractSeed02	PipelineStarted; ExitCode=0; pipeline started
2026-06-03T19:36:04.5052479+00:00	WorkerEvent	ExtractSeed03	PipelineStarted; ExitCode=0; pipeline started
